Season,wOBA,wOBAScale,wBB,wHBP,w1B,w2B,w3B,wHR,runSB,runCS,R/PA,R/W,cFIP,Tms,#Bat,BatAge,R/G,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,BIP
2024,0.31,1.242,0.689,0.72,0.882,1.254,1.59,2.05,0.2,-0.405,0.117,9.683,3.166,30,741,27.9,4.39,4858,182449,163687,21343,39823,25902,7771,697,5453,20379,3617,961,14929,41197,0.243,0.312,0.399,0.711,65347,3227,2020,452,1261,509,118298
2023,0.318,1.204,0.696,0.726,0.883,1.244,1.569,2.004,0.2,-0.422,0.122,10.028,3.255,30,765,28,4.62,4860,184104,164418,22432,40839,26031,8228,712,5868,21512,3503,866,15819,41843,0.248,0.32,0.414,0.734,68095,3466,2112,429,1230,474,117937
2022,0.31,1.259,0.689,0.72,0.884,1.261,1.601,2.072,0.2,-0.397,0.114,9.524,3.112,30,790,28.2,4.28,4860,182052,163465,20817,39675,25877,7940,643,5215,19888,2486,811,14853,40812,0.243,0.312,0.395,0.706,64546,3397,2046,390,1224,475,118662
2021,0.314,1.209,0.692,0.722,0.879,1.242,1.568,2.007,0.2,-0.419,0.121,9.973,3.17,30,1373,28.4,4.53,4858,181821,161941,22010,39484,25006,7863,671,5944,20993,2213,711,15794,42145,0.244,0.317,0.411,0.728,66521,3328,2112,766,1143,703,114995
2020,0.32,1.185,0.699,0.728,0.883,1.238,1.558,1.979,0.2,-0.435,0.125,10.282,3.191,30,618,28,4.65,1796,66506,59030,8344,14439,9071,2823,241,2304,7978,885,292,6092,15586,0.245,0.322,0.418,0.74,24656,1237,821,126,402,202,41542
2019,0.32,1.157,0.69,0.719,0.87,1.217,1.529,1.94,0.2,-0.435,0.126,10.296,3.214,30,1287,27.9,4.83,4858,186517,166651,23467,42039,25947,8531,785,6776,22471,2280,832,15895,42823,0.252,0.323,0.435,0.758,72468,3463,1984,776,1150,753,118202
2018,0.315,1.226,0.69,0.72,0.88,1.247,1.578,2.031,0.2,-0.407,0.117,9.714,3.16,30,1271,28.1,4.45,4862,185139,165432,21630,41018,26322,8264,847,5585,20606,2474,958,15686,41207,0.248,0.318,0.409,0.728,67731,3457,1922,823,1235,929,119875
2017,0.321,1.185,0.693,0.723,0.877,1.232,1.552,1.98,0.2,-0.423,0.122,10.048,3.158,30,1229,28.3,4.65,4860,185295,165567,22582,42215,26918,8397,795,6105,21558,2527,934,15829,40104,0.255,0.324,0.426,0.75,70517,3804,1763,925,1168,970,120526
2016,0.318,1.212,0.691,0.721,0.878,1.242,1.569,2.015,0.2,-0.41,0.118,9.778,3.147,30,1247,28.4,4.48,4856,184580,165561,21744,42276,27539,8254,873,5610,20745,2537,1001,15088,38982,0.255,0.322,0.417,0.739,69106,3719,1651,1025,1214,932,122183
2015,0.313,1.251,0.687,0.718,0.881,1.256,1.594,2.065,0.2,-0.392,0.112,9.421,3.134,30,1252,28.4,4.25,4858,183628,165488,20647,42106,28016,8242,939,4909,19650,2505,1064,14073,37446,0.254,0.317,0.405,0.721,66953,3739,1602,1200,1232,951,124365
2014,0.31,1.304,0.689,0.722,0.892,1.283,1.635,2.135,0.2,-0.377,0.107,9.117,3.132,30,1212,28.5,4.07,4860,183929,165614,19761,41595,28423,8137,849,4186,18745,2764,1035,14020,37441,0.251,0.314,0.386,0.7,63988,3609,1652,1343,1277,985,125264
2013,0.314,1.277,0.69,0.722,0.888,1.271,1.616,2.101,0.2,-0.384,0.11,9.264,3.048,30,1202,28.5,4.17,4862,184873,166070,20255,42093,28438,8222,772,4661,19271,2693,1007,14640,36710,0.253,0.318,0.396,0.714,65842,3732,1536,1383,1219,1018,125918
2012,0.315,1.245,0.691,0.722,0.884,1.257,1.593,2.058,0.2,-0.398,0.114,9.544,3.094,30,1185,28.5,4.32,4860,184180,165251,21017,42063,27941,8261,927,4934,19998,3229,1136,14709,36426,0.255,0.319,0.405,0.724,66980,3614,1494,1479,1223,1055,125114
2011,0.316,1.264,0.694,0.726,0.89,1.27,1.611,2.086,0.2,-0.394,0.112,9.454,3.025,30,1173,28.7,4.28,4858,185245,165705,20808,42267,28418,8399,898,4552,19804,3279,1261,15018,34488,0.255,0.321,0.399,0.72,66118,3523,1554,1667,1274,1231,127939
2010,0.321,1.251,0.701,0.732,0.895,1.27,1.608,2.072,0.2,-0.403,0.115,9.643,3.078,30,1157,28.9,4.38,4860,185553,165353,21308,42554,28589,8486,866,4613,20288,2959,1129,15778,34306,0.257,0.325,0.403,0.728,66611,3719,1549,1544,1301,1216,127735
2009,0.329,1.21,0.707,0.737,0.895,1.258,1.585,2.023,0.2,-0.42,0.12,9.994,3.097,30,1156,28.9,4.61,4860,187079,165849,22419,43524,28796,8737,949,5042,21364,2970,1133,16620,33591,0.262,0.333,0.418,0.751,69285,3796,1590,1635,1366,1179,128582
2008,0.328,1.211,0.708,0.739,0.896,1.259,1.587,2.024,0.2,-0.422,0.12,10.032,3.132,30,1188,28.8,4.65,4856,187631,166714,22585,43972,29194,9014,886,4878,21541,2799,1035,16337,32884,0.264,0.333,0.416,0.749,69392,3883,1672,1526,1365,1310,130317
2007,0.331,1.192,0.711,0.741,0.896,1.253,1.575,1.999,0.2,-0.433,0.124,10.25,3.24,30,1173,29.1,4.8,4862,188623,167783,23322,44977,29885,9197,938,4957,22257,2918,1002,16079,32189,0.268,0.336,0.423,0.758,70921,3983,1755,1540,1441,1323,132078
2006,0.332,1.17,0.708,0.737,0.89,1.241,1.557,1.97,0.2,-0.439,0.125,10.365,3.147,30,1134,29.2,4.86,4858,188071,167341,23599,45073,29600,9135,952,5386,22491,2767,1110,15847,31655,0.269,0.337,0.432,0.768,72270,3945,1817,1651,1396,1410,131696
2005,0.326,1.208,0.703,0.733,0.89,1.252,1.578,2.017,0.2,-0.419,0.12,9.971,3.02,30,1141,29.2,4.59,4862,186292,166335,22325,43991,29223,8863,888,5017,21248,2565,1069,15207,30644,0.264,0.33,0.419,0.749,69681,3908,1797,1620,1315,1216,131989
2004,0.33,1.18,0.707,0.737,0.89,1.244,1.563,1.983,0.2,-0.434,0.124,10.272,3.049,30,1136,29.3,4.81,4856,188539,167353,23376,44522,29254,8919,898,5451,22248,2589,1100,16222,31828,0.266,0.335,0.428,0.763,71590,3784,1850,1731,1363,1381,131437
2003,0.328,1.194,0.706,0.736,0.891,1.249,1.572,2,0.2,-0.428,0.123,10.158,3.032,30,1134,29.2,4.73,4860,187449,166737,22978,44057,29089,8827,934,5207,21886,2573,1132,15889,30801,0.264,0.333,0.422,0.755,70373,3850,1849,1626,1336,1316,132065
2002,0.326,1.211,0.704,0.735,0.892,1.255,1.582,2.021,0.2,-0.42,0.12,9.991,2.962,30,1101,29.2,4.62,4852,186615,165582,22408,43272,28592,8700,921,5059,21332,2750,1282,16246,31394,0.261,0.331,0.417,0.748,68991,3845,1746,1633,1399,1452,130528
2001,0.327,1.182,0.704,0.733,0.887,1.242,1.561,1.982,0.2,-0.432,0.124,10.235,3.049,30,1137,29.2,4.78,4858,186976,166234,23199,43879,28680,8813,928,5458,22088,3103,1408,15806,32404,0.264,0.332,0.427,0.759,70922,3653,1890,1607,1424,1384,129796
2000,0.341,1.147,0.722,0.751,0.9,1.244,1.554,1.947,0.2,-0.46,0.131,10.795,3.134,30,1132,29.1,5.14,4858,190261,167290,24971,45246,29700,8901,952,5693,23735,2924,1323,18237,31356,0.27,0.345,0.437,0.782,73130,3892,1573,1628,1514,1210,131755
1999,0.341,1.156,0.723,0.752,0.902,1.249,1.561,1.959,0.2,-0.456,0.13,10.714,3.134,30,1116,28.9,5.08,4856,189692,167137,24691,45327,30128,8740,931,5528,23461,3421,1519,17891,31119,0.271,0.345,0.434,0.778,72513,3841,1579,1604,1464,1107,131954
1998,0.331,1.197,0.713,0.742,0.898,1.257,1.58,2.007,0.2,-0.432,0.124,10.232,3.139,30,1097,28.9,4.79,4864,188280,167116,23297,44489,29785,8741,899,5064,22080,3284,1505,16447,31893,0.266,0.335,0.42,0.755,70220,3704,1587,1705,1402,1067,131561
1997,0.332,1.201,0.714,0.744,0.9,1.26,1.585,2.013,0.2,-0.431,0.123,10.21,3.109,28,1051,28.9,4.77,4532,175543,155438,21604,41471,27944,8004,883,4640,20468,3308,1564,15666,29937,0.267,0.337,0.419,0.756,65161,3440,1449,1577,1383,1169,122244
1996,0.335,1.171,0.719,0.748,0.901,1.252,1.568,1.975,0.2,-0.45,0.129,10.599,3.172,28,905,28.8,5.04,4534,177263,156801,22831,42320,28516,7987,855,4962,21570,3239,1343,16093,29308,0.27,0.34,0.427,0.767,66903,3609,1404,1544,1400,1343,123931
1995,0.333,1.199,0.718,0.748,0.903,1.263,1.587,2.011,0.2,-0.437,0.125,10.326,3.103,28,901,28.6,4.85,4034,156704,138571,19554,36975,25112,6958,824,4081,18436,2933,1257,14240,25425,0.267,0.338,0.417,0.755,57824,3145,1219,1488,1173,1105,110238
1994,0.333,1.182,0.716,0.745,0.899,1.254,1.573,1.988,0.2,-0.442,0.127,10.439,3.131,28,782,28.7,4.92,3200,124483,110266,15752,29743,20012,5723,702,3306,14858,2258,1032,11131,19766,0.27,0.339,0.424,0.763,46788,2442,876,1207,992,1008,88186
1993,0.327,1.24,0.713,0.744,0.905,1.278,1.613,2.063,0.2,-0.418,0.12,9.953,2.988,28,900,28.4,4.6,4538,174564,154995,20864,41088,28669,7449,940,4030,19596,3263,1660,15110,26310,0.265,0.332,0.403,0.736,62507,3431,1200,1811,1430,1477,126085
1992,0.317,1.33,0.706,0.739,0.912,1.311,1.67,2.178,0.2,-0.381,0.108,9.188,2.783,26,806,28.4,4.12,4212,160545,142895,17341,36544,26098,6563,845,3038,16282,3264,1601,13682,23538,0.256,0.322,0.377,0.7,53911,3109,980,1665,1294,1315,117613
1991,0.318,1.297,0.707,0.739,0.908,1.297,1.647,2.133,0.2,-0.395,0.113,9.479,2.856,26,816,28.4,4.31,4208,160746,142968,18127,36558,25782,6499,894,3383,17048,3120,1567,13984,24390,0.256,0.323,0.385,0.708,54994,3021,905,1624,1249,1228,116444
1990,0.319,1.299,0.707,0.739,0.908,1.298,1.648,2.137,0.2,-0.393,0.112,9.44,2.808,26,809,28.4,4.26,4210,160316,142768,17919,36817,26109,6526,865,3317,16804,3290,1510,13852,23853,0.258,0.325,0.385,0.71,55024,3077,861,1559,1261,1384,116859
1989,0.313,1.329,0.704,0.737,0.91,1.308,1.667,2.174,0.2,-0.383,0.109,9.23,2.763,26,797,28.5,4.13,4212,160033,142821,17405,36293,26035,6307,868,3083,16229,3116,1441,13528,23650,0.254,0.32,0.375,0.695,53585,3064,801,1626,1240,1446,117328
1988,0.312,1.322,0.7,0.733,0.905,1.302,1.659,2.162,0.2,-0.383,0.109,9.229,2.769,26,769,28.3,4.14,4200,159380,142568,17380,36244,25838,6386,840,3180,16219,3301,1418,12984,23355,0.254,0.318,0.378,0.696,53850,3087,918,1630,1265,1367,117298
1987,0.326,1.206,0.707,0.737,0.894,1.256,1.582,2.014,0.2,-0.428,0.123,10.144,2.871,26,796,28.3,4.72,4210,161922,144095,19883,37895,25748,6793,896,4458,18713,3585,1529,14389,25099,0.263,0.331,0.415,0.747,59854,3124,842,1455,1110,1287,115648
1986,0.32,1.267,0.706,0.737,0.902,1.282,1.624,2.094,0.2,-0.403,0.115,9.645,2.771,26,771,28.7,4.41,4206,160858,143106,18545,36880,25701,6511,855,3813,17396,3312,1620,14227,24706,0.258,0.326,0.395,0.721,56540,3119,812,1515,1175,1289,115762
1985,0.317,1.28,0.703,0.735,0.901,1.285,1.631,2.109,0.2,-0.397,0.114,9.53,2.684,26,750,28.8,4.33,4206,160320,143075,18216,36778,25788,6423,965,3602,17129,3097,1431,13838,22451,0.257,0.323,0.391,0.714,55937,3293,699,1549,1144,1337,118166
1984,0.317,1.302,0.706,0.738,0.908,1.298,1.65,2.14,0.2,-0.392,0.112,9.417,2.768,26,762,28.6,4.26,4210,160566,143829,17921,37381,26925,6213,985,3258,16778,3032,1511,13320,22500,0.26,0.323,0.385,0.708,55338,3193,668,1435,1286,1270,119357
1983,0.319,1.289,0.706,0.738,0.906,1.293,1.64,2.123,0.2,-0.396,0.113,9.499,2.755,26,782,28.7,4.31,4218,160615,143538,18170,37443,26646,6463,1033,3301,17067,3325,1619,13518,21716,0.261,0.325,0.389,0.714,55875,3296,717,1561,1256,1379,119777
1982,0.318,1.291,0.705,0.737,0.905,1.293,1.641,2.126,0.2,-0.394,0.112,9.454,2.717,26,743,28.7,4.3,4214,161104,144149,18110,37651,26992,6316,964,3379,17019,3176,1617,13302,21221,0.261,0.324,0.389,0.713,56032,3147,677,1740,1221,1319,120770
1981,0.314,1.361,0.706,0.74,0.917,1.325,1.693,2.219,0.2,-0.371,0.105,8.997,2.6,26,729,28.6,4,2788,105892,94467,11147,24157,17717,4000,659,1781,10451,2021,1100,8868,13237,0.256,0.32,0.369,0.689,34818,2208,464,1252,829,895,80278
1980,0.32,1.298,0.708,0.741,0.909,1.299,1.649,2.137,0.2,-0.393,0.112,9.437,2.752,26,760,28.2,4.29,4210,161210,144160,18053,38144,27636,6345,1076,3087,16928,3294,1610,13190,20212,0.265,0.326,0.388,0.714,55902,3362,657,1883,1296,1435,122157
1979,0.324,1.263,0.711,0.743,0.907,1.286,1.627,2.092,0.2,-0.408,0.117,9.741,2.732,26,723,28,4.46,4196,160378,142792,18713,37911,26997,6415,1066,3433,17558,2983,1598,13601,20035,0.265,0.33,0.397,0.727,56757,3326,754,1896,1314,1366,120638
1978,0.318,1.327,0.707,0.74,0.913,1.311,1.669,2.176,0.2,-0.382,0.108,9.211,2.585,26,741,27.7,4.1,4204,159192,141567,17251,36508,26346,6186,1020,2956,16098,3004,1617,13566,20058,0.258,0.323,0.379,0.702,53602,3076,772,1986,1274,1338,119827
1977,0.324,1.255,0.708,0.739,0.902,1.279,1.618,2.081,0.2,-0.407,0.116,9.726,2.738,26,738,27.4,4.47,4206,161547,143975,18803,38037,26782,6441,1170,3644,17596,3017,1779,13757,21722,0.264,0.329,0.401,0.73,57750,3139,791,1764,1231,1297,119840
1976,0.315,1.381,0.712,0.747,0.926,1.34,1.713,2.248,0.2,-0.371,0.105,8.988,2.633,24,706,27.6,3.99,3878,147603,131525,15492,33598,25157,5240,966,2235,14363,3054,1544,12391,18745,0.255,0.32,0.361,0.681,47475,2910,684,1793,1183,1156,111728
1975,0.321,1.331,0.716,0.749,0.922,1.322,1.681,2.185,0.2,-0.388,0.11,9.335,2.587,24,726,27.3,4.21,3868,148623,131473,16295,33863,24835,5443,887,2698,15153,2524,1369,13402,19280,0.258,0.327,0.374,0.701,49174,3014,761,1873,1087,1338,110582
1974,0.318,1.349,0.713,0.747,0.922,1.327,1.691,2.206,0.2,-0.381,0.108,9.199,2.578,24,741,27.4,4.12,3890,148856,132256,16046,33969,25267,5206,847,2649,14858,2488,1383,12963,19495,0.257,0.324,0.369,0.693,48816,3083,774,1734,1104,1353,111216
1973,0.319,1.318,0.71,0.743,0.914,1.309,1.665,2.164,0.2,-0.388,0.11,9.338,2.565,24,710,27.7,4.21,3886,148795,132363,16376,34010,24894,5224,790,3102,15254,2034,1213,13100,20358,0.257,0.325,0.379,0.704,50120,3129,755,1550,1009,1357,109912
1972,0.304,1.411,0.694,0.729,0.913,1.336,1.717,2.279,0.2,-0.348,0.098,8.532,2.399,24,824,27.5,3.69,3718,139975,124828,13706,30434,22502,4652,746,2534,12750,1807,1105,11727,20718,0.244,0.311,0.354,0.664,44180,2797,751,1758,883,1378,102459
1971,0.31,1.37,0.7,0.734,0.912,1.323,1.693,2.228,0.2,-0.364,0.103,8.853,2.451,24,828,27.6,3.89,3876,146715,130544,15073,32547,23945,4931,808,2863,14077,1765,1039,12536,20956,0.249,0.317,0.365,0.682,47683,3091,821,1802,987,1396,107712
1970,0.319,1.29,0.708,0.74,0.908,1.295,1.644,2.126,0.2,-0.398,0.113,9.537,2.638,24,849,27.6,4.34,3888,149343,132140,16880,33555,23964,5235,927,3429,15762,1908,1078,13727,22374,0.254,0.326,0.385,0.711,50931,3023,825,1630,990,1464,107327
1969,0.313,1.344,0.705,0.739,0.913,1.316,1.679,2.195,0.2,-0.378,0.107,9.133,2.509,24,849,27.4,4.07,3892,148214,131287,15850,32581,23773,4840,849,3119,14662,1850,1118,13429,22473,0.248,0.32,0.369,0.689,48476,2900,882,1669,914,1436,106609
1968,0.291,1.461,0.681,0.718,0.908,1.346,1.74,2.337,0.2,-0.328,0.092,8.13,2.385,20,676,27.6,3.42,3250,120833,108622,11109,25710,19149,3869,697,1995,10308,1515,931,9156,19143,0.237,0.299,0.34,0.639,36958,2217,778,1507,753,1223,88237
1967,0.299,1.389,0.687,0.722,0.902,1.319,1.694,2.244,0.2,-0.354,0.1,8.648,2.539,20,718,27.4,3.77,3240,121858,109205,12210,26464,19291,4082,792,2299,11264,1373,940,9665,19413,0.242,0.306,0.357,0.664,39027,2245,751,1480,738,1295,88231
1966,0.303,1.327,0.686,0.719,0.891,1.289,1.648,2.161,0.2,-0.371,0.106,8.996,2.554,20,714,27.3,3.99,3230,121703,109467,12900,27207,19524,4120,820,2743,11998,1455,926,9331,18805,0.249,0.31,0.376,0.686,41196,2355,682,1455,742,1088,88661
1965,0.304,1.339,0.69,0.723,0.897,1.299,1.66,2.178,0.2,-0.371,0.105,8.989,2.517,20,702,27.3,3.99,3246,122774,109738,12946,26952,19278,4199,787,2688,12011,1449,784,10036,19283,0.246,0.311,0.372,0.683,40789,2365,720,1488,766,1130,88533
1964,0.307,1.322,0.69,0.723,0.895,1.292,1.649,2.158,0.2,-0.375,0.107,9.08,2.605,20,700,27.4,4.04,3252,123010,110464,13124,27669,19877,4270,760,2762,12233,1176,719,9621,19212,0.25,0.313,0.378,0.69,41745,2394,694,1462,739,1015,89229
1963,0.304,1.341,0.688,0.721,0.895,1.298,1.66,2.181,0.2,-0.368,0.104,8.928,2.479,20,695,27.6,3.95,3238,122377,109814,12780,27043,19450,4098,791,2704,11903,1236,763,9591,18773,0.246,0.309,0.372,0.681,40835,2256,714,1448,769,933,89106
1962,0.322,1.266,0.709,0.741,0.905,1.285,1.627,2.094,0.2,-0.407,0.116,9.731,2.617,20,702,27.9,4.46,3242,124575,110688,14461,28521,20354,4313,853,3001,13546,1348,701,10936,17567,0.258,0.326,0.393,0.719,43543,2487,709,1361,846,818,90966
1961,0.324,1.249,0.71,0.741,0.904,1.278,1.616,2.072,0.2,-0.414,0.118,9.864,2.574,18,620,28,4.53,2860,109593,97032,12942,25066,17607,3975,754,2730,12061,1046,599,9897,14947,0.258,0.328,0.399,0.727,38739,2232,573,1305,761,732,80116
1960,0.319,1.29,0.706,0.738,0.905,1.292,1.641,2.124,0.2,-0.395,0.113,9.484,2.527,16,575,28.2,4.31,2472,94814,84014,10664,21434,15206,3442,658,2128,9968,923,547,8384,12815,0.255,0.324,0.388,0.712,32576,1914,488,1193,692,729,69763
1959,0.319,1.272,0.705,0.737,0.902,1.284,1.627,2.1,0.2,-0.402,0.115,9.63,2.543,16,571,28.5,4.38,2476,94757,84294,10853,21636,15317,3478,591,2250,10175,853,506,8184,12604,0.257,0.324,0.392,0.716,33046,1837,496,1127,616,707,70056
1958,0.32,1.278,0.703,0.735,0.901,1.284,1.629,2.109,0.2,-0.395,0.112,9.476,2.475,16,580,28.4,4.28,2470,94170,83827,10578,21621,15334,3392,655,2240,9955,741,516,8127,12225,0.258,0.325,0.394,0.719,33043,2062,499,1046,644,679,70006
1957,0.319,1.286,0.703,0.735,0.902,1.288,1.635,2.119,0.2,-0.392,0.112,9.426,2.456,16,563,28.5,4.31,2470,95422,84906,10636,21865,15595,3396,672,2202,10023,767,558,8167,11949,0.258,0.324,0.391,0.715,33211,1972,511,1115,687,740,71442
1956,0.326,1.261,0.712,0.743,0.907,1.285,1.626,2.09,0.2,-0.408,0.116,9.74,2.369,16,552,28.3,4.45,2478,95268,83856,11031,21653,15295,3339,725,2294,10330,719,495,8997,11505,0.258,0.331,0.397,0.729,33324,1984,481,1253,644,783,70701
1955,0.327,1.266,0.716,0.748,0.913,1.292,1.634,2.099,0.2,-0.41,0.116,9.789,2.368,16,599,28.3,4.48,2468,95053,83590,11068,21610,15435,3251,700,2224,10381,694,536,9044,10804,0.259,0.332,0.394,0.726,32933,1940,506,1187,698,722,71260
1954,0.333,1.289,0.724,0.756,0.924,1.311,1.659,2.138,0.2,-0.401,0.113,9.606,2.398,16,536,28.2,4.38,2472,95585,83936,10827,21908,15727,3455,789,1937,10168,695,527,9032,10215,0.261,0.333,0.39,0.723,32752,1959,441,1332,795,759,72579
1953,0.336,1.248,0.726,0.758,0.92,1.294,1.631,2.084,0.2,-0.421,0.12,10.001,2.591,16,534,28.4,4.61,2480,95454,84997,11426,22459,16045,3593,745,2076,10713,668,520,8682,10213,0.264,0.336,0.397,0.733,33770,2029,487,1245,,581,72708
1952,0.327,1.34,0.722,0.756,0.93,1.332,1.694,2.202,0.2,-0.386,0.109,9.292,2.391,16,556,28.6,4.18,2478,94849,84195,10349,21272,15506,3388,677,1701,9671,771,628,8777,10380,0.253,0.327,0.37,0.696,31117,1966,482,1354,,705,72114
